2026-04-07 17:56:44,143 INFO [collect.py:242](_build_md_list) - collect spec-0:<ColorSpec handle:mhartington/oceanic-next, color_name:OceanicNext, url:https://github.com/mhartington/oceanic-next, plugin_name: oceanic-next, git_branch:None, install_path:mhartington-oceanic-next>
2026-04-07 17:56:44,143 INFO [collect.py:242](_build_md_list) - collect spec-1:<ColorSpec handle:nlknguyen/papercolor-theme, color_name:PaperColor, url:https://github.com/nlknguyen/papercolor-theme, plugin_name: papercolor-theme, git_branch:None, install_path:nlknguyen-papercolor-theme>
2026-04-07 17:56:44,143 INFO [collect.py:242](_build_md_list) - collect spec-2:<ColorSpec handle:romainl/apprentice, color_name:apprentice, url:https://github.com/romainl/apprentice, plugin_name: apprentice, git_branch:None, install_path:romainl-apprentice>
2026-04-07 17:56:44,143 INFO [collect.py:242](_build_md_list) - collect spec-3:<ColorSpec handle:ayu-theme/ayu-vim, color_name:ayu, url:https://github.com/ayu-theme/ayu-vim, plugin_name: ayu-vim, git_branch:None, install_path:ayu-theme-ayu-vim>
2026-04-07 17:56:44,143 INFO [collect.py:242](_build_md_list) - collect spec-4:<ColorSpec handle:catppuccin/nvim, color_name:catppuccin, url:https://github.com/catppuccin/nvim, plugin_name: catppuccin, git_branch:None, install_path:catppuccin-nvim>
2026-04-07 17:56:44,143 INFO [collect.py:242](_build_md_list) - collect spec-5:<ColorSpec handle:tomasiser/vim-code-dark, color_name:codedark, url:https://github.com/tomasiser/vim-code-dark, plugin_name: vim-code-dark, git_branch:None, install_path:tomasiser-vim-code-dark>
2026-04-07 17:56:44,143 INFO [collect.py:242](_build_md_list) - collect spec-6:<ColorSpec handle:scottmckendry/cyberdream.nvim, color_name:cyberdream, url:https://github.com/scottmckendry/cyberdream.nvim, plugin_name: cyberdream.nvim, git_branch:None, install_path:scottmckendry-cyberdream.nvim>
2026-04-07 17:56:44,143 INFO [collect.py:242](_build_md_list) - collect spec-7:<ColorSpec handle:ajmwagar/vim-deus, color_name:deus, url:https://github.com/ajmwagar/vim-deus, plugin_name: vim-deus, git_branch:None, install_path:ajmwagar-vim-deus>
2026-04-07 17:56:44,143 INFO [collect.py:242](_build_md_list) - collect spec-8:<ColorSpec handle:dracula/vim, color_name:dracula, url:https://github.com/dracula/vim, plugin_name: dracula, git_branch:None, install_path:dracula-vim>
2026-04-07 17:56:44,143 INFO [collect.py:242](_build_md_list) - collect spec-9:<ColorSpec handle:sainnhe/edge, color_name:edge, url:https://github.com/sainnhe/edge, plugin_name: edge, git_branch:None, install_path:sainnhe-edge>
2026-04-07 17:56:44,143 INFO [collect.py:242](_build_md_list) - collect spec-10:<ColorSpec handle:sainnhe/everforest, color_name:everforest, url:https://github.com/sainnhe/everforest, plugin_name: everforest, git_branch:None, install_path:sainnhe-everforest>
2026-04-07 17:56:44,143 INFO [collect.py:242](_build_md_list) - collect spec-11:<ColorSpec handle:fenetikm/falcon, color_name:falcon, url:https://github.com/fenetikm/falcon, plugin_name: falcon, git_branch:None, install_path:fenetikm-falcon>
2026-04-07 17:56:44,143 INFO [collect.py:242](_build_md_list) - collect spec-12:<ColorSpec handle:projekt0n/github-nvim-theme, color_name:github_dark, url:https://github.com/projekt0n/github-nvim-theme, plugin_name: github-nvim-theme, git_branch:None, install_path:projekt0n-github-nvim-theme>
2026-04-07 17:56:44,143 INFO [collect.py:242](_build_md_list) - collect spec-13:<ColorSpec handle:whatyouhide/vim-gotham, color_name:gotham, url:https://github.com/whatyouhide/vim-gotham, plugin_name: vim-gotham, git_branch:None, install_path:whatyouhide-vim-gotham>
2026-04-07 17:56:44,143 INFO [collect.py:242](_build_md_list) - collect spec-14:<ColorSpec handle:ellisonleao/gruvbox.nvim, color_name:gruvbox, url:https://github.com/ellisonleao/gruvbox.nvim, plugin_name: gruvbox.nvim, git_branch:None, install_path:ellisonleao-gruvbox.nvim>
2026-04-07 17:56:44,143 INFO [collect.py:242](_build_md_list) - collect spec-15:<ColorSpec handle:sainnhe/gruvbox-material, color_name:gruvbox-material, url:https://github.com/sainnhe/gruvbox-material, plugin_name: gruvbox-material, git_branch:None, install_path:sainnhe-gruvbox-material>
2026-04-07 17:56:44,143 INFO [collect.py:242](_build_md_list) - collect spec-16:<ColorSpec handle:cocopon/iceberg.vim, color_name:iceberg, url:https://github.com/cocopon/iceberg.vim, plugin_name: iceberg.vim, git_branch:None, install_path:cocopon-iceberg.vim>
2026-04-07 17:56:44,143 INFO [collect.py:242](_build_md_list) - collect spec-17:<ColorSpec handle:nanotech/jellybeans.vim, color_name:jellybeans, url:https://github.com/nanotech/jellybeans.vim, plugin_name: jellybeans.vim, git_branch:None, install_path:nanotech-jellybeans.vim>
2026-04-07 17:56:44,143 INFO [collect.py:242](_build_md_list) - collect spec-18:<ColorSpec handle:rebelot/kanagawa.nvim, color_name:kanagawa, url:https://github.com/rebelot/kanagawa.nvim, plugin_name: kanagawa.nvim, git_branch:None, install_path:rebelot-kanagawa.nvim>
2026-04-07 17:56:44,143 INFO [collect.py:242](_build_md_list) - collect spec-19:<ColorSpec handle:marko-cerovac/material.nvim, color_name:material, url:https://github.com/marko-cerovac/material.nvim, plugin_name: material.nvim, git_branch:None, install_path:marko-cerovac-material.nvim>
2026-04-07 17:56:44,143 INFO [collect.py:242](_build_md_list) - collect spec-20:<ColorSpec handle:savq/melange-nvim, color_name:melange, url:https://github.com/savq/melange-nvim, plugin_name: melange-nvim, git_branch:None, install_path:savq-melange-nvim>
